Code,gdp_Value,date
KOR,-0.199687643,01-04-2019
KOR,1.046022679,01-07-2019
KOR,0.405037445,01-10-2019
KOR,1.288454855,01-01-2019
KOR,-1.261506728,01-04-2020
KOR,-3.150738208,01-07-2020
KOR,2.233424391,01-10-2020
KOR,1.142221229,01-01-2020
KOR,1.740407308,01-04-2021
KOR,0.770711605,01-07-2021
KOR,0.311163633,01-10-2021
KOR,1.222247457,01-01-2021
KOR,0.732000112,01-04-2022
AUS,0.461452684,01-04-2019
AUS,0.764276964,01-07-2019
AUS,0.774102322,01-10-2019
AUS,0.329919527,01-01-2019
AUS,-0.2517764,01-04-2020
AUS,-6.788708787,01-07-2020
AUS,3.39740667,01-10-2020
AUS,3.215098165,01-01-2020
AUS,1.857630259,01-04-2021
AUS,0.795943647,01-07-2021
AUS,-1.87351854,01-10-2021
AUS,3.426812884,01-01-2021
ISL,1.897357617,01-04-2019
ISL,-0.410655016,01-07-2019
ISL,-1.948431564,01-10-2019
ISL,3.531721291,01-01-2019
ISL,-5.100496567,01-04-2020
ISL,-7.440976211,01-07-2020
ISL,1.748643172,01-10-2020
ISL,5.220155762,01-01-2020
ISL,-2.050575068,01-04-2021
ISL,4.899376219,01-07-2021
ISL,-1.055514349,01-10-2021
ISL,2.226395248,01-01-2021
GBR,0.641957711,01-04-2019
GBR,0.13273242,01-07-2019
GBR,0.45897235,01-10-2019
GBR,-0.044750089,01-01-2019
GBR,-2.525884387,01-04-2020
GBR,-19.42832246,01-07-2020
GBR,17.59576582,01-10-2020
GBR,1.482439501,01-01-2020
GBR,-1.171912613,01-04-2021
GBR,5.555746599,01-07-2021
GBR,0.937339938,01-10-2021
GBR,1.275237583,01-01-2021
GBR,0.751223416,01-04-2022
EST,1.637376482,01-04-2019
EST,0.426116907,01-07-2019
EST,0.696689921,01-10-2019
EST,0.365134952,01-01-2019
EST,-1.207322332,01-04-2020
EST,-5.811153699,01-07-2020
EST,3.619102709,01-10-2020
EST,2.196789738,01-01-2020
EST,3.330827646,01-04-2021
EST,2.419040632,01-07-2021
EST,1.025203826,01-10-2021
EST,1.766512983,01-01-2021
DNK,0.622473237,01-04-2019
DNK,0.796147943,01-07-2019
DNK,0.389960487,01-10-2019
DNK,-0.46067218,01-01-2019
DNK,-0.521373485,01-04-2020
DNK,-5.992876481,01-07-2020
DNK,6.126802553,01-10-2020
DNK,0.084548227,01-01-2020
DNK,-0.065582661,01-04-2021
DNK,2.310805805,01-07-2021
DNK,1.443430919,01-10-2021
DNK,2.98575435,01-01-2021
DNK,-0.099863771,01-04-2022
ESP,0.601311089,01-04-2019
ESP,0.365570965,01-07-2019
ESP,0.37901041,01-10-2019
ESP,0.376576034,01-01-2019
ESP,-5.391222646,01-04-2020
ESP,-17.65209276,01-07-2020
ESP,16.79845701,01-10-2020
ESP,0.222620107,01-01-2020
ESP,-0.502705329,01-04-2021
ESP,1.128356521,01-07-2021
ESP,2.605876202,01-10-2021
ESP,2.222277268,01-01-2021
ESP,0.322286957,01-04-2022
JPN,0.579251942,01-04-2019
JPN,0.496646407,01-07-2019
JPN,-0.033333441,01-10-2019
JPN,-2.816475977,01-01-2019
JPN,0.509772704,01-04-2020
JPN,-7.935514875,01-07-2020
JPN,5.291054786,01-10-2020
JPN,1.757827374,01-01-2020
JPN,-0.322732038,01-04-2021
JPN,0.520030338,01-07-2021
JPN,-0.74171144,01-10-2021
JPN,0.940675115,01-01-2021
JPN,-0.246936474,01-04-2022
OECD,0.64779701,01-04-2019
OECD,0.599567995,01-07-2019
OECD,0.434427162,01-10-2019
OECD,-0.019896487,01-01-2019
OECD,-1.689257575,01-04-2020
OECD,-10.44256889,01-07-2020
OECD,9.43110868,01-10-2020
OECD,1.026381741,01-01-2020
OECD,0.789452231,01-04-2021
OECD,1.711126046,01-07-2021
OECD,1.097585392,01-10-2021
OECD,1.201842584,01-01-2021
OECD,0.1,01-04-2022
NOR,-0.275334908,01-04-2019
NOR,0.172095149,01-07-2019
NOR,0.219103339,01-10-2019
NOR,1.432830198,01-01-2019
NOR,-1.314880499,01-04-2020
NOR,-4.667096015,01-07-2020
NOR,4.482022097,01-10-2020
NOR,0.637801429,01-01-2020
NOR,-0.027933679,01-04-2021
NOR,0.752408276,01-07-2021
NOR,3.943606975,01-10-2021
NOR,0.014087378,01-01-2021
NOR,-0.966770209,01-04-2022
HUN,1.734258712,01-04-2019
HUN,0.442306924,01-07-2019
HUN,1.184707122,01-10-2019
HUN,0.538069183,01-01-2019
HUN,-0.362555795,01-04-2020
HUN,-14.20531889,01-07-2020
HUN,11.46843946,01-10-2020
HUN,1.510704888,01-01-2020
HUN,1.67929683,01-04-2021
HUN,2.232945995,01-07-2021
HUN,0.938295901,01-10-2021
HUN,2.004177619,01-01-2021
HUN,2.09999708,01-04-2022
CAN,0.090640853,01-04-2019
CAN,0.990737829,01-07-2019
CAN,0.326642811,01-10-2019
CAN,0.300683754,01-01-2019
CAN,-2.157302609,01-04-2020
CAN,-11.04253725,01-07-2020
CAN,8.983958377,01-10-2020
CAN,2.192421261,01-01-2020
CAN,1.172780872,01-04-2021
CAN,-0.901349118,01-07-2021
CAN,1.34544577,01-10-2021
CAN,1.627299148,01-01-2021
CAN,1.400004705,01-04-2022
ARG,0.168677719,01-04-2019
ARG,0.735341862,01-07-2019
ARG,0.160247942,01-10-2019
ARG,-1.716907361,01-01-2019
ARG,-4.089572327,01-04-2020
ARG,-14.91395574,01-07-2020
ARG,11.8756604,01-10-2020
ARG,4.455026377,01-01-2020
ARG,3.216986453,01-04-2021
ARG,-0.562246523,01-07-2021
ARG,4.039905962,01-10-2021
ARG,1.549841884,01-01-2021
SVN,0.584493235,01-04-2019
SVN,-0.308393338,01-07-2019
SVN,1.235404463,01-10-2019
SVN,1.37898751,01-01-2019
SVN,-4.53763119,01-04-2020
SVN,-9.460548549,01-07-2020
SVN,11.7982734,01-10-2020
SVN,-0.23242383,01-01-2020
SVN,1.598583829,01-04-2021
SVN,1.949364233,01-07-2021
SVN,1.290442845,01-10-2021
SVN,5.282223956,01-01-2021
SVN,0.798775493,01-04-2022
FIN,0.736176824,01-04-2019
FIN,0.916562976,01-07-2019
FIN,-0.065990553,01-10-2019
FIN,-0.246759114,01-01-2019
FIN,-0.270016027,01-04-2020
FIN,-6.162553058,01-07-2020
FIN,5.011075743,01-10-2020
FIN,0.925318632,01-01-2020
FIN,-0.124703609,01-04-2021
FIN,1.813097918,01-07-2021
FIN,0.994904569,01-10-2021
FIN,0.704622804,01-01-2021
FIN,0.441553589,01-04-2022
BRA,0.521661883,01-04-2019
BRA,0.575294075,01-07-2019
BRA,-0.005114589,01-10-2019
BRA,0.280390505,01-01-2019
BRA,-2.220685609,01-04-2020
BRA,-8.861983915,01-07-2020
BRA,7.802520923,01-10-2020
BRA,3.007517211,01-01-2020
BRA,1.41943789,01-04-2021
BRA,-0.33814568,01-07-2021
BRA,-0.061936185,01-10-2021
BRA,0.544195167,01-01-2021
NLD,0.610960228,01-04-2019
NLD,0.417040291,01-07-2019
NLD,0.36447798,01-10-2019
NLD,0.504342086,01-01-2019
NLD,-1.643390807,01-04-2020
NLD,-8.375905344,01-07-2020
NLD,7.505689788,01-10-2020
NLD,0.000280038,01-01-2020
NLD,-0.516246229,01-04-2021
NLD,3.753976039,01-07-2021
NLD,2.034612473,01-10-2021
NLD,1.008772195,01-01-2021
